Fatigue	25787
Headache	24538
Nausea	20676
Joint pain	18127
Brain fog	15665
Anxiety	15333
Diarrhea	13213
Dizziness	12460
Stomach Pain	11004
Depression	10704
Fatigue and tiredness	10648
Constipation	9951
Back pain	9835
Neck pain	9828
Abdominal pain	9261
Muscle pain	7804
Migraine	7688
Insomnia	7464
Chest pain	5594
Bloating	5454
Hip pain	5295
Lower Back Pain	5005
Chronic pain	4798
Shoulder pain	4765
Shortness of breath	4243
Sore throat	4148
Knee pain	3887
Difficulty concentrating	3834
Leg pain	3798
Pelvic pain	3529
Irritability	3401
Foot pain	3295
Weakness	3177
Hand pain	3124
Wrist pain	3059
Gas	2908
Vertigo	2773
Vomiting	2687
lightheadedness	2655
nerve pain	2644
Jaw pain	2526
Dull	2487
Muscle spasms	2462
muscle weakness	2441
Pain	2431
Body aching	2417
heart palpitations	2407
Stomach cramps	2339
Joint stiffness	2319
Acid Reflux	2296
panic attacks	2274
Menstrual cramps	2200
Stiffness	2142
Muscle twitching	2139
Mood swings	2135
exhaustion	2124
Stress	2114
Heartburn	2086
Night sweats	2062
Fatigue 	2048
Crying	2032
Palpitations	1918
acne	1916
Fever	1786
Upper back pain	1783
Eye pain	1780
Ankle pain	1769
Panic Attack	1769
sleepiness	1741
Loss of appetite	1733
Tachycardia	1699
Light sensitivity	1694
Sadness	1676
Nasal congestion	1640
Chronic Fatigue	1632
dissociation	1611
Tinnitus	1610
Suicidal ideation	1590
bowel movements	1588
Tingling in hands and feet	1561
Muscle cramps	1552
Headaches	1532
Cold	1523
Breast pain	1480
Dry eye	1463
Fainting	1458
Arm pain	1456
Hot flashes	1445
Heat intolerance	1439
excess daytime sleepiness	1435
Sleep Problems	1424
Tremor	1390
Middle Back Pain	1380
Anhedonia	1372
Unrefreshing Sleep	1369
Dry skin	1346
Exercise Intolerance	1336
Oversleeping	1307
Hair loss	1306
Blurred vision	1294
Lower abdomen pain	1276
Body aches	1260
Self Harm	1241
Mouth sores	1216
Low mood	1209
IBS	1192
Dry mouth	1191
Elbow pain	1187
Numbness	1186
pins and needles	1181
Hypomania	1180
nightmares	1179
Lack of Motivation	1157
Bloody Stools	1147
Cough	1145
Sensory overload	1139
Mental fatigue	1139
Memory Problems	1139
Memory loss	1130
Rib pain	1129
Excessive sweating	1126
Muscle ache	1120
Intestinal pain	1117
Joint cracking	1108
Frequent urination	1083
intrusive thoughts	1076
Rash	1061
Bowel Urgency	1060
afternoon sleepiness	1032
Trouble finding words	1023
Tiredness	1021
Gastrointestinal symptoms	1008
Runny nose	1007
Finger pain	1003
Migraines	991
Stiff neck	989
Itching	976
Low appetite	975
Cold Extremities 	974
mood	970
Itchy skin	967
Suicidal Thoughts	965
Flushing	965
low energy	957
Low back pain	954
Anger	947
Sleeplessness	944
Energy	929
hives	927
Sound sensitivity	925
Confusion	921
Shaking hands	921
Cramps	911
Shaking	898
Decreased appetite	892
loss of balance	887
Noise Sensitivity	877
Upset stomach	876
Overheating	876
Right knee pain	875
Swollen lymph nodes	870
Low motivation	870
Vaginal bleeding	870
Emotional	868
Social anxiety	854
right shoulder pain	847
Subluxation	846
Hallucinations	842
Thoughts of self-harm	822
physical fatigue	816
Right Hip Pain	805
sleep disturbance	799
Difficulty with speech	795
Cold hands	795
Cold feet	786
Hand weakness	786
